@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute classification {0,1,2,3,4,5}
@attribute regression numeric

@data
532,'2017/02/12 13:20:04:088',2,-275.40509,-315.773926,3365.206055,200.4702,-323.085358,3357.84082,-74.436539,332.155151,3364.150391,3,?
533,'2017/02/12 13:20:04:122',2,-261.658783,-320.097107,3373.697754,206.796082,-325.927155,3398.89624,-67.815964,330.799866,3382.19873,3,?
534,'2017/02/12 13:20:04:154',2,-257.305298,-324.922028,3390.92041,199.006332,-342.279785,3419.469238,-63.492634,329.90332,3405.749023,3,?
535,'2017/02/12 13:20:04:189',2,-251.761353,-324.007263,3410.743652,207.233154,-335.064575,3421.832031,-61.844326,328.827118,3431.014648,3,?
536,'2017/02/12 13:20:04:222',2,-258.778839,-322.079926,3426.973877,214.236084,-332.390564,3439.694824,-60.224667,329.460999,3460.06665,3,?
537,'2017/02/12 13:20:04:254',2,-267.304749,-323.260071,3443.431641,213.907715,-335.136017,3487.352295,-58.335197,328.113037,3474.110107,3,?
538,'2017/02/12 13:20:04:288',2,-285.109009,-319.911621,3456.736572,217.495834,-337.884399,3525.193604,-58.355526,335.497192,3481.665527,3,?
539,'2017/02/12 13:20:04:322',2,-281.147675,-333.38092,3486.555664,208.278244,-337.886566,3554.080078,-61.631973,334.898132,3502.46582,3,?
540,'2017/02/12 13:20:04:354',2,-289.646637,-333.370758,3493.098633,204.4729,-338.219635,3582.645752,-59.064068,336.315857,3513.833008,3,?
541,'2017/02/12 13:20:04:388',2,-303.420715,-330.456787,3499.869629,202.602539,-337.938568,3596.727539,-66.262978,328.038513,3538.570801,3,?
542,'2017/02/12 13:20:04:422',2,-315.394653,-335.99823,3503.710938,197.009705,-340.085327,3608.832764,-71.596321,335.91272,3548.388672,3,?
543,'2017/02/12 13:20:04:454',2,-327.46875,-343.98584,3502.310059,184.347412,-343.989471,3614.262207,-84.263046,329.484253,3553.259766,3,?
544,'2017/02/12 13:20:04:488',2,-337.569183,-346.026459,3494.883057,149.605606,-320.854431,3627.195313,-95.322388,320.180084,3574.289551,3,?
545,'2017/02/12 13:20:04:522',2,-339.275757,-340.150818,3502.469482,158.379791,-370.405701,3661.284424,-99.687759,310.848999,3600.791504,3,?
546,'2017/02/12 13:20:04:554',2,-339.559784,-333.471008,3499.644775,151.573853,-353.194092,3687.339111,-115.088257,309.782166,3614.555664,3,?
547,'2017/02/12 13:20:04:589',2,-342.362213,-335.896515,3525.536133,151.864426,-358.016602,3698.601807,-118.811523,306.179047,3621.902344,3,?
548,'2017/02/12 13:20:04:621',2,-342.473846,-346.801453,3588.916504,144.668655,-347.63324,3725.786133,-125.11055,312.893066,3656.103271,3,?
549,'2017/02/12 13:20:04:654',2,-342.497498,-342.917847,3615.187256,146.97612,-341.894562,3755.376465,-131.043503,320.99234,3654.17627,3,?
550,'2017/02/12 13:20:04:704',2,-348.554626,-338.675964,3621.911865,152.541016,-319.171143,3837.165283,-126.509933,319.037933,3660.251953,3,?
551,'2017/02/12 13:20:04:739',2,-352.801086,-342.944702,3638.519531,148.168427,-317.269684,3863.629883,-126.132332,320.592621,3680.76001,3,?
552,'2017/02/12 13:20:04:771',2,-354.632507,-342.800262,3660.944824,148.80722,-316.406921,3847.86499,-126.970688,323.780212,3693.047119,3,?
553,'2017/02/12 13:20:04:804',2,-355.627838,-340.978271,3678.080322,148.594498,-329.075256,3819.512207,-126.618073,317.835175,3701.13501,3,?
554,'2017/02/12 13:20:04:838',2,-357.402557,-344.954651,3699.115479,146.404724,-288.296814,3861.200195,-127.758064,314.493774,3702.665283,3,?
555,'2017/02/12 13:20:04:871',2,-359.481628,-352.570435,3716.860107,149.425797,-280.781891,3879.425537,-127.850319,311.693542,3703.430176,3,?
556,'2017/02/12 13:20:04:904',2,-366.811066,-349.218872,3770.003174,150.405975,-288.628174,3872.816162,-123.055908,312.207855,3707.375244,3,?
557,'2017/02/12 13:20:04:939',2,-367.161163,-332.133087,3774.541016,149.592682,-313.505585,3844.740967,-125.464157,315.382507,3721.842773,3,?
558,'2017/02/12 13:20:04:971',2,-365.381073,-308.782349,3773.431152,153.730225,-331.631348,3812.568848,-119.070953,315.447083,3753.531738,3,?
559,'2017/02/12 13:20:05:005',2,-343.337219,-206.668854,3812.861084,141.739426,-346.366028,3793.854736,-124.047989,292.746399,3808.411377,3,?
560,'2017/02/12 13:20:05:039',2,-328.630219,-333.66806,3805.059082,149.397949,-352.218689,3770.36084,-112.941078,300.518188,3795.098145,3,?
